x,y,value
36,36,0
37,36,0
38,36,0
39,36,0
40,36,0
41,36,0
42,36,0
43,36,0
44,36,0
45,36,0
46,36,0
47,36,0
48,36,0
49,36,0
0,37,0
1,37,0
2,37,0
3,37,0
4,37,0
5,37,0
6,37,0
7,37,0
8,37,0
9,37,2
10,37,0
11,37,0
12,37,0
13,37,0
14,37,1
15,37,0
16,37,0
17,37,0
18,37,0
19,37,0
20,37,1
21,37,0
22,37,0
23,37,1
24,37,1
25,37,0
26,37,0
27,37,0
28,37,0
29,37,0
30,37,0
31,37,0
32,37,0
33,37,0
34,37,1
35,37,0
36,37,0
37,37,0
38,37,0
39,37,0
40,37,0
41,37,0
42,37,0
43,37,0
44,37,0
45,37,0
46,37,0
47,37,0
48,37,0
49,37,0
0,38,0
1,38,0
2,38,0
3,38,0
4,38,0
5,38,0
6,38,0
7,38,0
8,38,0
9,38,0
10,38,0
11,38,0
12,38,0
13,38,0
14,38,0
15,38,0
16,38,0
17,38,0
18,38,0
19,38,0
20,38,0
21,38,0
22,38,0
23,38,0
24,38,0
25,38,0
26,38,0
27,38,0
28,38,0
29,38,1
30,38,0
31,38,0
32,38,0
33,38,0
34,38,0
35,38,0
36,38,1
37,38,0
38,38,0
39,38,0
40,38,0
41,38,0
42,38,0
43,38,0
44,38,0
45,38,0
46,38,0
47,38,0
48,38,0
49,38,0
0,39,0
1,39,0
2,39,0
3,39,1
4,39,0
5,39,0
6,39,0
7,39,0
8,39,0
9,39,0
10,39,0
11,39,0
12,39,0
13,39,1
14,39,0
15,39,0
16,39,0
17,39,0
18,39,0
19,39,0
20,39,0
21,39,0
22,39,0
23,39,0
24,39,0
25,39,1
26,39,0
27,39,0
28,39,0
29,39,0
30,39,0
31,39,0
32,39,0
33,39,0
34,39,0
35,39,0
36,39,0
37,39,0
38,39,0
39,39,0
40,39,0
41,39,0
42,39,0
43,39,0
44,39,0
45,39,0
46,39,0
47,39,0
48,39,0
49,39,0
0,40,0
1,40,0
2,40,0
3,40,1
4,40,0
5,40,0
6,40,0
7,40,0
8,40,0
9,40,0
10,40,1
11,40,0
12,40,0
13,40,0
14,40,0
15,40,0
16,40,0
17,40,0
18,40,0
19,40,0
20,40,0
21,40,0
22,40,0
23,40,0
24,40,0
25,40,0
26,40,0
27,40,0
28,40,0
29,40,0
30,40,0
31,40,0
32,40,0
33,40,0
34,40,0
35,40,0
36,40,0
37,40,0
38,40,0
39,40,0
40,40,0
41,40,0
42,40,0
43,40,0
44,40,0
45,40,0
46,40,0
47,40,0
48,40,0
49,40,0
0,41,0
1,41,0
2,41,0
3,41,0
4,41,0
5,41,0
6,41,0
7,41,0
8,41,0
9,41,0
10,41,0
11,41,0
12,41,0
13,41,0
14,41,0
15,41,0
16,41,0
17,41,0
18,41,1
19,41,0
20,41,0
21,41,0
22,41,1
23,41,0
24,41,0
25,41,1
26,41,1
27,41,0
28,41,0
29,41,2
30,41,0
31,41,0
32,41,0
33,41,0
34,41,1
35,41,0
36,41,0
37,41,0
38,41,0
39,41,0
40,41,0
41,41,0
42,41,0
43,41,0
44,41,0
45,41,0
46,41,0
47,41,0
48,41,0
49,41,0
